id,name,location,timing,req_time,fee,des,no_votes
14,Jama Masjid Mumbai,Mumbai,5:00 AM - 9:00 PM,1-2 hrs,0,Just a kilometre and a half away from Mumbai Chhatrapati Shivaji Terminus the Jama Masjid popularly known as Friday Mosque is the oldest mosque in the city of dreams - Mumbai. A popular place of pilgrimage this mosque stands majestically on the renowned Sheikh Menon Street near Crawford Market in the southern part of Mumbai. The mosque boasts of beautiful and intricate carvings breathtaking artworks and the fascinating marble stonework and has a fascinating history attached to it. A day trip to this mosque in blissful solitude will make you feel relaxed and peaceful to the core as tranquillity and peace will overpower your senses.,35
15,Jivdhan Trek,Mumbai,5:00 AM - 9:00 PM,,0,Jivdhan is a hill fort in the state of Maharashtra. It is a part of the 'famous five' fort in the Sahyadri mountain range. The other forts which are a part of the famous five include Naneghat Shivneri Chavand and Hadsar.,35
16,Mahuli Trek,Mumbai,5:00 AM - 9:00 PM,,0,Mahuli is a hill fort in Maharashtra. Located in the district of Thane the peak of the fort rises to an elevation of 2700 feet from the ground. The summit is actually a collection of 2-3 hills all having typical names.,35
17,Haji Malang Dargah and Trek,Mumbai,6:00 AM - 10:00 PM,24 hrs,0,Sri Malang gad is a fort near Kalyan in the Raigad district of Maharashtra. It is known popularly as Haji Malang which is one of the most famous among the three sufi shrines located on the hill. The structure of the fort is three-storeyed and each tier has a specific name.,36
18,Naneghat,Mumbai,6:00 AM - 10:00 PM,,0,Situated at a height of 2600 feet Naneghat is a mountain pass through the Sahyadri Mountain Range in Maharashtra that connects the Konkan sea coast with the old town of Junnar in the Deccan. Once an important corridor link through the Ghatghar forest between the coastal region and the important towns inland Naneghat is now a loved and much-frequented route for the trekkers and explorers. Boasting the trademark beauty of lush greens amidst patches of dusty terrain typical to this region Naneghat is a treat to the eyes to the soul and to the nature-loving adventure-seeking mind.,35
19,Jehangir Art Gallery,Fort Mumbai,11:00 AM - 7:00 PM,1-2 hrs,0,Jehangir Art Gallery is located at Kalaghoda in Southern Mumbai and is one of the most prestigious venues for artists to display and showcase their work. The formation of the gallery was funded by Cowasji Jehangir and it has served its artful pursuits ever since it was established in 1952. Named after Sir Cowasji's late son Jehangir the gallery has hosted the works of famous artists such as M. F. Hussain and S. H. Raza. A haven for art lovers this destination is well known for its splendid art exhibits. Such is the prestige of this art venue that artists have to wait for as long as two years before they can open their exhibits here.,71
20,Bhimashankar Trek,Mumbai,11:00 AM - 7:00 PM,,0,Located in the beautiful expanses of the Western Ghats the Bhimashankar Trek takes you through the thickets of the Bhimashankar jungles right up to the temple. Bhimashankar is located in the village Bhorgiri in the ghat region of the Sahyadri range. Situated at a height of around 3250 feet Bhimashankar is surrounded by hills and is covered by thick green rainforests. Legend has it that the name Bhimashankar was originated from the river Bhima which evaporated due to the generated between the war of Lord Shiva and the demon Tripurasura. It is considered to be one of the holiest places in India because of the jyotirlinga. Bhimashankar is also a popular destination for trekkers. Bhimashankar Wildlife Sanctuary is another important reason why people come here.,35
21,Mahalaxmi temple Mumbai,South Mumbai,6:00 AM - 10:00 PM,1-2 hours,0,The Mahalaxmi Temple is one of the oldest temples situated in the city of Mumbai. Located on the Bhulabai Desai Road in Mahalaxmi West it is dedicated to Goddess Mahalaxmi or the 'Goddess of Wealth'. The temple was built sometime around the 16th - 17th century and the main presiding deity here is Goddess Laxmi while Goddess Kali and Saraswati are other two deities worshipped here. Together the three idols are known as Mahalaxmi Mahakali and Mahasaraswati. Thronged with devotees and tourists in large number throughout the year the temple is a must visit if you are visiting Mumbai.,74
22,Makarandgad Trek,Mumbai,6:00 AM - 10:00 PM,,0,Makarandgad (or Madhumakarandgad) is a hill fort in the state of Maharashtra. Believed to be comprised of twin peaks Madhu and Makarandgad the fort has thus derived its name.,35
23,Hill Road and Linking Road Bandra,Bandra,24 hours,0 hrs,0,Hill Road is a famous place for shopping and rejuvenation in Mumbai. It is basically an arterial road running through Mumbai that connects the intersection near Bandra Railway Station and S V Road. It is officially known as Ramdas Nayak Road but is called Hill Road because it goes over a hilly slope. This area of Bandra is famous for street shopping eating and hanging out. In Bandra this is also one of the places where people can find general stores hardware stores and also contractors for home services like plumbing carpentry painting etc. A couple of prominent hospitals some century-old monuments and landmarks are also found around Hill Road.,65
24,Lokhandwala Market,Andheri,Time Required : 2-3 hrs,,0,A visit to Mumbai is of course incomplete without shopping for some nice clothes and accessories and this is when the Lokhandwala Market comes to the rescue! This local market has gained much popularity over the past few years and is now the one-stop shop to ticking off all items from your shopping list on your next visit to Mumbai. Located in western Mumbai near Andheri the Lokhandwala Market is one of the most popular suburbs. The area is one of the poshest in Mumbai and also houses a large commercial and residential complex but it is the long stretch of roadside stalls and shops that characterise the much loved Lokhandwala Market.,65
25,Mahakali Caves,Andheri,9:00 AM - 4:00 PM,0-1 hrs,0,Mahakali Caves also known as Kondivite Caves are centuries old and are located in the western part of the city of Mumbai in Andheri. Mahakali Caves comprise a total of nineteen rock-cut monuments built between 1st and 6th century. The main cave consists of Buddha figures and stupas and there are several Buddha idols carved on the rocks too. These solid basalt caves are a favourite place for history lovers and archaeologists. Surprisingly clean and efficiently maintained the caves are far from the city area hence give a sense of serenity.,66
26,Global Vipassana Pagoda,Mumbai,6.30 AM to 6.45 PM,1-2 hrs,0,It is tough to imagine that one of the quietest and most peaceful spaces can exist right in the middle of the busy suburbs of Gorai in Mumbai. The Global Vipassana Pagoda is a meditation hall shaped like a dome with a capacity to seat of 8000 devotees and Vipassana practitioners. Along with admiring the serenely mesmerizing Pagoda located on a peninsula between Gorai creek and the Arabian Sea. Another interesting facet of the monument is that it has been completely through donations. Visitors can take a short 10-minute Aanapana Meditation session to experience how invaluable the technique of meditation is and then decide if they want to enrol for a long term course. No matter what the verdict is a trip to the Global Pagoda will be worthwhile.,72
27,Water Sports in Mandwa Beach,Mumbai,6.30 AM to 6.45 PM,,0,A beautiful serene and pristine beach in Mandwa Village is not just about quite long walks along the coast but also offers the buzz of water sports.,35
28,Girgaum Chowpatty,South Mumbai,7:00 PM - 3:00 AM,1-2 hrs,0,Popularly known as Chowpatty the beach is located in southern Mumbai along the western railway route. This small sandy beach is a popular place to chill and a must visit for all tourists who visit Marine Drive for the first time.,82
29,Kanheri Caves,Western Suburbs,7:30 AM - 5:00 PM Tuesday-Sunday (Closed on Mondays),3-4 hours,100,Located in the Sanjay Gandhi National Park near Borivali in Mumbai the Kanheri Caves in Mumbai are a group of rock - cut monuments in the form of caves. The caves and the paintings themselves illustrate the Buddhist influence on the Indian art and culture. The caves are famous for their 109 special entrances as well as for their ancient sculptures carvings paintings and inscriptions dating back to the 1st century to the 10th century that adorn their basalt formations. Standing in sharp contrast to the verdant greenery of the surrounding hills Kanheri Caves can be accessed through a series of rock cut steps.,71
30,Gorakhgad Trek,Mumbai,,,0,Gorakhgad is a hill fort in Maharashtra. Gorakhgad and Machindragad are twin forts in the Thane district of Maharashtra. Gorakhgad is situated at an elevation higher than its twin fort.,35
31,ISKCON Temple Mumbai,Juhu,4:30 AM - 8:30 PM,3 hours,0,ISCKON Temple is a divine and spiritual getaway from all the hustle and bustle of the capital city of Mumbai. Dedicated to Lord Krishna who is considered as the eighth avatar of Lord Vishnu the temple is clad in marble and glass. Meters away from the Juhu Beach incorporating Iskcon Temple in your weekend plans might just be the perfect peaceful escape you are looking for. This place has a tranquil feel about it and the in-house vegetarian restaurant serves exceptional food at cheap rates.,65
32,KidZania Mumbai,Mumbai,10:00 AM - 3:00 PM and 3:00 PM - 8:00 PM,4 - 5 hrs,950,KidZania basically is an indoor attraction or a themed amusement park that spreads across an area of 1.73 acres. It is a fun attraction made especially for children within the age of 2 and 16. Its core concept is to have an interactive platform where children can feel inspired and learn through fun activities. The aim of the attraction is also to create a global entertainment and learning brand to contribute towards the growth of children by motivating empowering and educating them in a unique city-like Atmosphere. All of these activities are conducted in a safe environment. There are CCTV Cameras medical aid secured entry with RFID security bracelets and a controlled indoor environment to make it comfortable as well as enjoyable for the visitors. KidZania also has a highly trained and experienced staff that guides the participants through the activities and provides complete knowledge about the activities.,0
33,Kamala Nehru Park,South Mumbai,5:00 AM - 9:00 PM,1-2 hrs,0,Kamala Nehru Park is a famous recreational attraction located in the heart of the city. It is a favourite spot for jogging walks or just for spending some time away from the hustle and bustle of the routine life. The Park is also in close proximity from some colleges schools and hostels. So one would find groups of students exercising or just hanging out after a busy day. Having said that it is a great place for people belonging to all age groups. People get their children; the elderlies visit and parents also steal some time off from their home and work lives.,71
34,Chhatrapati Shivaji Terminus,South Mumbai,All time,0-1 hrs,0,Chhatrapati Shivaji Terminus (CST) formerly known Victoria Terminus is a modern yet archaic railway station in the bustling capital city of Maharashtra - Mumbai. The marvellous structure is the perfect example of the Victorian-Gothic style of architecture in India and was built in 1878. In fact the railway station which still functions as usual waas a World Heritage Site under UNESCO in 1997. The station is always bustling with the sounds of the metro city and the locals. It is a bustling railway terminus but there are some corners of it that will make you feel like you have stepped into the pages of British history.It is one of the most famous historical landmarks in the country that is also the second most photographed monument in India.,83
35,Bandra Worli Sea Link,South Mumbai,Throughout the day,0 hrs,100,Officially known as Rajiv Gandhi Sea Link this eight-lane cable-stayed bridge in Mumbai is the first project initiated by Maharashtra Government that commences West Island Freeway System. Bandra Worli Sea Link is one of the few bridges that is a cable-stayed with pre-stressed concrete-steel viaducts to hold it in place. Spanning across the arc of Mumbai's coastline this sea link is a civil engineering wonder that reflects the modern infrastructure of the city of Mumbai. The bridge is designed to cater around 37500 vehicles per day while reducing the time travel between Bandra and Worli by a big margin. The beauty of the Bandra Worli Sea Link is in its engineering genius which compliments the sea that it is built over.,81
36,Fashion Street Mumbai,Fort Mumbai,11:00 AM - 8:00 PM,0 hrs,0,Latest trends a variety of clothes and the delicious aroma of street food is what Fashion Street in Mumbai is all about. One of the favourite shopping hubs for the people of Mumbai especially students the place offers some of the trendiest and latest fashion clothes at jaw-dropping bargains. Located near CST (Chhatrapati Shivaji Terminus) it offers an array of about 150 shops that sell a humongous variety of accessories and clothes. The sheer number of things on offer makes fashion street heaven for shopaholics.,74
37,Haji Ali Dargah,South Mumbai,6:00 a.m. - 10:00 p.m.,1 - 2 hours,0,Situated on the backdrop of a beautiful view of the Arabian sea is the shrine of Haji Ali dedicated to the wealthy merchant turned who gave up his worldly belongings and turned into Muslim Sufi saint after a trip to Mecca. Haji Ali Dargah is located on a small islet that is off the southern coast of Mumbai near Worli. People from all walks of life and religions come here to seek blessings. The Dargah can only be accessed during the low tides via a causeway that is surrounded by the sea on all sides. At night the view of the shrine lit up in the distance with nothing but the sea around it is a divine sight.,81
38,National Gallery of Modern Art Mumbai,Fort Mumbai,11:00 AM - 6:00 PM (Closed on Mondays and National Holidays),2-3 hrs,0,A paradise for art lovers National Gallery of Modern Art (NGMA) Mumbai is a famous art museum possessing a magnificent collection of paintings sculptures and artefacts since 1996. The multitude of artwork present in this charismatic gallery has drawn millions of visitors and left them awestruck. It is governed by the Department of Culture Government of India and has over the period become a popular tourist attraction as it very convincingly depicts the modification of artwork in the field of visual and plastic arts. A blend of art and culture this gallery houses the artworks of phenomenal sculptors artists and painters including the legendary Pablo Picasso who is considered as the epitome of art and painting. The oldest artwork is known to be around 160 years old. The ancient artefacts such as statues and mummies from Egypt have also a played a crucial role in rousing the curiosity of the visitors.,71
39,Siddhivinayak Temple,South Mumbai,05:30 AM - 10:00 PM,1 - 2 hours,0,The Siddhivinayak Temple in the Prabhadevi area is a revered shrine dedicated to Lord Ganesha and is one of the most significant and frequented temples in Mumbai. This temple was built in the year 1801 by Laxman Vithu and Deubai Patil. The couple did not have any children of their own and decided to build the Siddhivinayak temple so as to fulfil the wishes of other infertile women. Interestingly the statue of Lord Ganesha here is believed to be self-manifested and grants wishes.,79
40,Sanjay Gandhi National Park,Western Suburbs,National Park - 7:00 AM - 6:30 PM,,,,
41,National Museum of Indian Cinema,Mumbai,Tuesday to Sunday: 11:00 AM - 5:00 PM,,,,
42,Essel World,Western Suburbs,Monday - Friday: 10:00 AM - 7:00 PM,,,,
43,Mumbai Zoo,South Mumbai,9:00 AM - 6:00 PM,2-3 hrs,100,Formerly known as Ranichi Bagh meaning Queen's Gardens Jijamata Udyan is the only zoo in the city of Mumbai. Its former name is a depiction of the original British name Victoria Gardens.  Now it is also known as Veermata Jijabai Bhosale Udyan and Zoo named after the mother of Shivaji the hero of Maratha Empire. The zoo is located in the heart of the city in Byculla. Built in 1861 it is the only zoo of Mumbai and one of the oldest in India. In the zoo you can witness many wild animals in separate enclosures such as lion monkeys crocodiles elephants and many more.,70
44,Prince of Wales Museum,Fort Mumbai,10:15 AM - 5:00 PM Open on all days except Monday,3-5 hours,30,The Prince of Wales Museum is a splendid structure situated in Mumbai and is regarded to be one of the heritage buildings of the city. The foundation stone of this edifice was laid down by the Prince of Wales on the 11 November 1905 and it was established as a museum on 10 January 1922. The facade of the museum is a sight to behold in itself and sits in the midst of an expansive green garden. Adorned with stunning stone and lattice work the architecture of the Prince of Wales Museum is a blend of Indian Mughal and British engineering styles. Inside the museum holds almost 50000 of some of the most exquisite artefacts relating to the rich and diverse history of India.,78
45,Hanging Gardens,South Mumbai,5:00 AM - 9:00 PM,1-2 hrs,0,Hanging Garden is a terrace garden situated on top of the Malabar Hill right next to the Kamla Nehru Park. It overlooks the stunning Arabian Sea and was built in 1880 by Mr. Ulhas Ghapokar. The stunning gardens are dedicated to Barrister Pherozeshah Mehta and are also known as Pherozeshah Mehta Gardens. In fact when viewed from above one can clearly see the letter PMG spelt out in the gardens. The garden has impeccable animal shaped hedges and lush green vegetation along with a serene bird's eye view of the Arabian Sea.,72
46,Mumbai Street Food - 38 Places to Enjoy the Best Street Food in Mumbai,null,null,1-2 hrs,0,null,0
47,Film City Mumbai,Western Suburbs,10:00 AM - 5:00 PM,3-4 hours,1000,Spread across a vast area of 520 acres the Film City is comprised of about twenty indoor studios and is located in Aarey Colony Mumbai Film City is often regarded as a home of Bollywood. The place is so vast that about 1000 film sets can be erected here simultaneously. Over the years it has been the locations for a number of Bollywood films. Almost over 900 movies and many more television shows have also been shot here. Today Film City has grown to be one of the best film studios well-equipped with all the essential amenities and world-class facilities. Not only is it a great place for film shoots but it is also filled with verdant greenery and refreshing expanses.,70
48,Gateway of India,Fort Mumbai,Throughout the day,1- 2 hours,0,The Gateway of India is without doubt one of the most popular tourist hotspots of Mumbai. Sitting proudly on the Apollo Bunder it overlooks the Arabian Sea. It is one of the defining monuments of the city of Mumbai and was built in the year 1924. The construction was undertaken by the famous architect George Wittet to commemorate the visit of King George V and Queen Mary to Mumbai. The imposing structure of the monument is a beautiful confluence of Indian Arabic and Western architecture and has become a popular tourist hub in the city. It is also the starting point of a number of ferry services that ply to the historic Elephanta Caves.,89
49,Colaba Causeway,Colaba,,1- 2 hours,0,One of the most exciting and eclectic places to visit in Mumbai is the Colaba Causeway famous for being a shopper's paradise. Iconic at best ask any Mumbaikar and they will tell you that the Causeway is pretty much the heart of Mumbai. Resurgent even after the terror attack this shopping street stood up on its feet in no time. Apart from gorgeous clothes and accessories especially earrings you can also find great bargains on home decor stuff such as lampshades curios and antiques. If designer stuff is your calling there are a number of options for that as well. If you do feel like catching a bite and a beer there are a number of restaurants that offer great food and booze at very affordable prices and Cafe Leopold and Cafe Mondegar are pretty much the best!,77
50,Juhu Beach,Juhu,Anytime,1-2 hours,0,Juhu beach is the longest beach in Mumbai and the most popular among tourists as well. It is renowned for its wide variety of street food that has a typical Mumbai flavour and is sweet and sour. The surrounding area of Juhu is one of the poshest localities in Mumbai and is home to a lot of famous Bollywood and TV celebrities - the most famous being Amitabh Bachchan's bungalow - and it is not  rare to spot a celebrity jogging on the beach.,84
51,Marine Drive Mumbai,Fort Mumbai,Anytime,1-2 hours,0,Marine Drive is the most easily identifiable landmark associated with Mumbai and is indicative of the glamor and glitter of the city. It is essentially 3.6 km long arc-shaped boulevard along the South Mumbai coast that starts at the southern end of Nariman Point and ends at Girgaum Chowpatty popularly known as Chowpatty Beach. The coast wraps the Arabian sea and is the best place in Mumbai to watch the sunset or even to just take a leisurely stroll by the sea any time of the day or night. At night when the whole coastline lights up it justifies its other moniker i.e. Queen's Necklace.,104
52,Elephanta Caves,Mumbai,9:00 AM to 5:30 PM,4-5hours,10,A UNESCO World Heritage Site Elephanta Caves is a specimen of rock-cut art and architecture from the times of medieval India. The caves are located on the Elephanta or Gharapuri island which is situated at a distance of 11 km from the city of Mumbai. Natively known as Gharapurichi Leni the Elephanta Caves that exist today are ruins of what were once elaborately painted artworks. It also provides an amazing view of the Mumbai skyline. You can reach the Elephanta Caves via a ferry ride from Gateway of India. This collection of cave temples dates back to 5th to 7th centuries and most of them are dedicated to Lord Shiva.,75
53,Panju Island,Mumbai,,4-5hours,0,Panju Island is a lesser-known place located in the Vasai Creek in Palghar district. The island is used to connect the mainland of Vasai to another island Salsette. The place offers a stark contrast to modern-day living. With its ancient buildings and lifestyle salt pans mangrove forests the island is a dream-like destination for every curious travaller.,0
54,Arnala Fort,Mumbai,,4-5hours,0,Arnala Fort is an island fort that is situated just 8 miles north of Vasai near Mumbai in Maharashtra. Also known as Jaldurg or Janjire-Arnala the Arnala Fort was built by the Portuguese who formerly called it Ilha das vacas. As it is located away from the mainland on the quiet and secluded Arnala Island the place reverberates with serenity and tranquility and is therefore a major tourist attraction in the city. Flanked by the Arabian Sea the forlorn and desolate fort presents beauteous views of the surroundings- the ocean and the land.,0
55,Old Woman’s Island,Mumbai,,4-5hours,0,Mumbai city is supposed to be comprising of seven islands Old Woman’s Island (also known as Little Colaba) is one of these islands. The island was initially called as the Island of the Kolis i.e. the local fisherfolk who originally occupied the area. Till the late 18th century the area was governed by the Portuguese after which it was handed over to the British.,0
56,Worli Fort,Mumbai,,4-5hours,0,Located in the Worli neighborhood of Mumbai Worli Fort is an ancient defence fort that was built in around 1675. It is often mistaken to have been constructed by the Portuguese. But in reality it was built by the British as a defence fort as their strategy to lookout for enemy ships and pirates. Overlooking the Mahim Bay the fort offers some of the best views in the city and is visited by locals and tourists alike. In addition to that the monument has a built-in well a temple and ample viewpoints overlooking the vast sea.,0
57,Bandra Fort,Mumbai,6:00 AM - 6:30 PM,4-5hours,0,Also known as Castella de Aguada Bandra Fort is an ancient Portuguese Fort that is situated in Land’s End in the Bandra neighborhood of Mumbai. The fort lies several feet high from the average sea level at a height of 24 m. Besides being a major tourist spot in the region the fort has also been featured in several Bollywood films like Dil Chahta Hai and Buddha Mil Gaya. It is also frequented by couples and love birds who come here for photo and video shoots pre wedding shoots etc.,0
58,Dr. Bhau Daji Lad Museum,Mumbai,10:00 AM - 6:00 PM Closed on Wednesdays and Public Holidays,4-5hours,0,Situated in the Byculla neighborhood in Mumbai in close vicinity to the Byculla Zoo Dr. Bhau Daji Lad Museum is the oldest museum in town. First opened to the public in 1872 under the name of Victoria and Albert Museum the new name was given to it in 1975. It showcases the rich culture and heritage of the city through a collection of Fine and Decorative Arts. Among the permanent and most prominent collections in the museum are dioramas clay models lithographs photographs and books that document the life and times of olden days Bombay from the late eighteenth to the early twentieth century.,0
59,Cross Island,Mumbai,,4-5hours,0,Colloquially known as Chinal Tekdi Cross Island is located on the Mumbai Harbour in India. Sandwiched between Dockyard Road and Elephanta Island Cross Island boasts of immense beauty and sparse population. Among the few structures located on the island you can find an oil refinery several large gas holders and gorgeous remains of a ruined fort. Cross Island is located around 400 m from Ferry Wharf and can be reached in a speed boat or ferry.,0
60,Salsette Island,Mumbai,,4-5hours,0,Located on the Western Coast of India in the state of Maharashtra Salsette Island is one of the most densely populated islands in the world. The island houses the busy metropolis of Bombay Thane and Mira- Bhayandar and is also known to be one of the most populous islands with a population of around 15.1 million on a relatively small area of 619 square kms. The island is covered by water on all sides- Vasai Creek to the north Ulhas River on the northeast Thane Creek and Bombay Harbour on the East and Arabian Sea on the south and the west. The island is blessed with numerous lakes bays and rivers.,0
61,Dharavi,Mumbai,null,4-5hours,0,Dharavi in Mumbai is the largest slum in India second to Orangi Township in Karachi which is the largest slum in Asia and forth to the largest slum in the world in Mexico. With an area of mere 2.1 km square Dharavi is a hub for several commercial activities and home to a whopping population of 700000 to 1000000. However it is not because of the slum's extreme poverty that the place has got recognition all over the world. People over at Dharavi work tirelessly to make sure the city of Mumbai functions effectively. If you were to remove Dharavi from Mumbai the city would completely collapse. And why would it not? Dharavi houses lanes and lanes of commercial units like waste segregation fabric dyeing leather production and many more. To give you a perspective there are about 15000 single room factories and 7000 industries all in an area of just over 2 km square.,0
62,Chor Bazaar Mumbai,Mumbai,11:00 AM to 07:30 PM IST (Closed on Fridays),3- 4 Hours,0,Chor Bazaar is one of the largest markets and one of the famous attractions in Mumbai Maharashtra. Also known as the biggest flea market in the country Chor Bazaar has a legend associated with it. People say if one loses anything in the city they can buy it back at this Bazaar. The sellers mostly deal second-hand goods but yes there would be some items that have been stolen. It is a bustling marketplace with shops and kiosks installed very close to one another on narrow lanes.,0
63,Shaar Hashamaim,Mumbai,,1 hr,0,Situated in Thane West in Mumbai Shaar Hashamaim is also known as Gate of Heaven Synagogue. It was consecrated in 1879 and was further restored and renovated in 1999. After the beautification the two-storeyed synagogue looks more wonderful than ever.,0
64,Shaar Rason Synagogue,Mumbai,,1 hr,0,Situated in Pydhonie Mandvi in Mumbai Shaar Rason Synagogue is a relatively small synagogue which was consecrated in 1843. The exteriors are elegant and the interiors are adorned with various kinds of ceiling fans glass lanterns and lighting fixtures.,0
